"wt_full_W6" "wt_full_W9" "regretsIHaveAFewW6" "euRefExpectationW7" "euRefExpectationW8" "econPersonalRetroW8" "euRefTurnoutRetroW9" "euRefVoteW9" "regretsIHaveAFewW9" "ageGroup" "ns_secW1W2W3W4W5" "ns_sec_analyticW1W2W3W4W5" "gender" "gor" "education"
"1" 0.63754784466189 0.419220452373307 0 53 54 NA 1 1 0 6 100 50 1 2 18
"2" 0.912046597287235 0.65704975784745 0 66 59 NA 1 1 0 6 NA NA 2 8 16
"3" 4.22689100092848 NA 0 54 NA NA NA NA NA 7 122 60 2 4 11
"4" NA NA NA NA NA NA NA NA NA 5 100 50 2 8 1
"5" NA NA NA NA NA NA NA NA NA 7 43 20 2 5 18
"6" 1.49763867979171 NA 0 43 NA NA NA NA NA 5 72 30 1 10 9
"7" 0.221807214474269 NA 0 46 10 NA NA NA NA 6 111 50 1 11 5
"8" 0.773799742925162 NA 0 54 NA NA NA NA NA 7 10 11 1 3 15
"9" 0.206394287563577 0.48805380129437 0 29 35 NA 1 0 0 5 41 20 1 10 16
"10" 0.749575579718897 0.644115470655323 0 54 NA NA 1 0 0 7 41 20 2 6 18
"11" 0.987355125912162 NA 0 51 51 NA NA NA NA 5 32 12 1 2 16
"12" NA NA NA NA NA NA NA NA NA 7 91 40 1 10 7
"13" 0.769697411019239 NA 0 NA NA NA NA NA NA 4 32 12 1 8 18
"14" 0.799455201282098 NA 0 NA NA NA NA NA NA 7 50 20 1 8 1
"15" 0.99101363543458 0.80924968062651 0 51 49 NA 1 1 0 7 32 12 2 5 16
"16" 0.983747936377364 NA 0 NA NA NA NA NA NA 4 71 30 2 8 11
"17" 2.52251016214631 NA 0 100 50 4 NA NA NA 4 71 30 1 5 16
"18" 0.169568800618377 0.14308891147086 0 NA 41 2 1 0 0 4 41 20 1 11 17
"19" 0.273715111907268 0.19230712178252 0 42 NA NA 1 0 0 7 43 20 2 9 17
"20" NA NA NA NA NA NA NA NA NA 6 126 60 2 8 9
"21" NA NA NA NA NA NA NA NA NA 6 50 20 1 4 15
"22" NA NA NA NA NA NA NA NA NA 4 41 20 1 9 13
"23" 0.252897405929602 0.0917154243083774 0 100 75 NA 1 1 0 5 50 20 1 2 8
"24" 0.301414832615026 NA 0 NA NA NA NA NA NA 4 32 12 1 5 17
"25" NA NA NA NA NA NA NA NA NA 7 31 12 1 10 17
"26" NA NA NA 46 NA NA NA NA NA 5 72 30 1 10 20
"27" 0.591109550491843 NA 0 50 NA NA NA NA NA 6 33 12 1 6 11
"28" 1.03835843233279 NA 0 NA NA NA NA NA NA 7 91 40 1 5 6
"29" 0.388794114288147 0.490338523647413 0 48 48 NA 1 1 0 5 100 50 1 10 11
"30" 0.578309326952958 0.516357525423877 0 25 36 NA 1 0 0 6 71 30 2 3 11
"31" 0.153182116201541 NA 0 65 NA NA NA NA NA 5 44 20 2 8 11
"32" 0.435751948072429 0.357639361344232 0 NA 23 3 1 0 0 3 73 30 2 8 18
"33" NA 0.399042697529013 NA 9999 NA NA 1 0 0 6 33 12 2 2 18
"34" 0.844192141127156 0.64476383016961 0 9999 50 3 1 1 0 7 71 30 2 5 9
"35" 0.258328054133498 0.235438308836652 0 98 NA NA 1 1 0 5 41 20 1 6 16
"36" 1.20554606335461 0.988354482880668 0 49 49 NA 1 1 0 6 74 30 1 4 5
"37" 0.980628653518456 NA 0 NA NA NA NA NA NA 3 60 20 2 4 18
"38" 0.296316021116791 NA 0 50 NA NA NA NA NA 4 NA NA 1 3 17
"39" 1.04951102219112 0.859284968694535 0 50 50 NA 1 1 0 7 71 30 2 2 9
"40" 3.60195588198272 3.68696932586066 0 100 41 NA 1 1 0 3 10 11 1 4 9
"41" 0.130576568063188 0.166049867362374 0 57 49 4 1 0 0 4 60 20 2 11 16
"42" 0.761159212161079 NA 0 53 51 2 NA NA NA 7 91 40 2 7 16
"43" 0.630101129941635 0.625485906576915 0 9999 53 3 1 1 0 6 41 20 1 2 18
"44" 0.75123942825591 0.750140342507392 0 43 58 NA 1 1 0 6 NA NA 1 6 16
"45" 1.24931745784453 1.02016305705554 0 55 46 NA 1 0 1 7 71 30 2 5 16
"46" 0.773302307000557 1.7382929700586 0 1 16 NA 1 0 0 5 60 20 1 10 15
"47" 0.332646752015935 NA 0 NA NA NA NA NA NA 5 60 20 1 5 16
"48" 0.370604313850093 0.596702642661139 0 NA 45 3 1 0 0 3 60 20 1 11 14
"49" 0.754336296089947 0.207187359314852 0 1 45 NA 1 0 0 7 126 60 1 4 11
"50" 1.5601029694152 1.10016349935405 0 75 84 NA 1 1 9999 3 42 20 2 7 16
"51" 0.8797966741899 0.758152529517114 0 42 41 2 1 0 0 3 122 60 2 2 16
"52" NA 0.26062595074717 NA NA 44 3 1 0 0 6 71 30 2 7 11
"53" 0.712778987524775 NA 0 NA 51 3 NA NA NA 6 NA NA 1 8 16
"54" NA NA NA NA NA NA NA NA NA 7 41 20 2 3 17
"55" 1.09411004152365 0.559085627737015 0 84 46 NA 1 1 0 6 33 12 1 3 17
"56" 0.858129604850864 0.578280595504836 0 32 41 NA 1 0 0 7 32 12 1 6 9
"57" 1.35561725232567 1.29832516918129 0 NA 9999 3 1 0 0 4 73 30 1 8 7
"58" NA NA NA NA NA NA NA NA NA 5 32 12 1 5 17
"59" 0.984182556880889 0.891695031488959 0 51 NA NA 1 0 0 5 41 20 1 6 11
"60" NA NA NA NA NA NA NA NA NA 6 91 40 2 9 17
"61" 1.10841281711026 0.989440330184356 0 53 51 NA 1 0 0 4 91 40 1 4 18
"62" 0.883899916131493 0.649703418339425 0 50 50 NA 1 0 0 6 20 11 1 2 18
"63" 0.226181897586492 0.163634712007673 0 41 49 NA 1 0 0 7 31 12 1 2 17
"64" NA NA NA NA NA NA NA NA NA 7 60 20 1 9 9
"65" 0.288225560356968 0.206876006318048 0 47 44 NA 1 1 0 5 50 20 1 6 16
"66" 0.493086817621813 0.837412445025717 0 46 41 4 1 0 0 5 50 20 2 11 12
"67" 0.11066970176964 0.14308891147086 0 0 50 NA 1 0 0 4 71 30 1 11 17
"68" 0.125153162396621 0.0740852988888629 0 9999 51 NA 1 1 0 7 71 30 2 5 9
"69" 0.587520108887815 0.406377938533556 0 54 57 NA 1 0 0 7 50 20 1 9 11
"70" 0.183987766429686 NA 0 NA NA NA NA NA NA 7 43 20 2 9 17
"71" 0.779986512380605 0.865408003572736 0 48 55 NA 1 1 0 5 50 20 2 6 8
"72" NA NA NA NA NA NA NA NA NA 5 NA NA 1 2 16
"73" NA 1.08350172406266 NA NA 9999 2 1 1 0 6 100 50 1 11 1
"74" NA NA NA NA NA NA NA NA NA 6 41 20 2 2 18
"75" NA 0.363300390812358 NA 9999 9999 NA 1 0 0 6 71 30 2 5 9
"76" 0.304233910284398 0.625485906576915 0 31 22 NA 1 0 0 6 41 20 1 1 13
"77" 0.694228441929958 0.507525965701889 0 27 NA NA 1 0 0 7 71 30 1 8 16
"78" 0.958160282745532 0.675820726789847 0 51 54 3 1 0 0 7 20 11 1 8 9
"79" NA NA NA NA NA NA NA NA NA 7 71 30 2 8 16
